category,tool_count,free_count,freemium_count,paid_count
Video Generation,10,0,8,2
Coding & Development,10,1,8,1
Meetings & Productivity,7,0,5,2
Image Generation,7,1,5,1
Voice & Audio,6,0,6,0
Presentations,6,0,5,1
Data Analysis,6,0,2,4
Automation & Agents,6,0,6,0
Search & Research,5,1,4,0
General AI Assistant,5,0,5,0
Writing & Editing,4,0,4,0
SEO,4,0,0,4
Marketing Content,4,0,1,3
Document Tools,4,1,3,0
Design,4,0,3,1
Customer Support,4,0,1,3
Music Generation,3,0,3,0
Website Building,2,0,2,0
Enterprise Knowledge,2,0,1,1
Creative Writing,2,0,0,2
Translation,1,0,1,0
Notes & Knowledge Management,1,0,1,0
Legal & Compliance,1,0,0,1
Email & Sales,1,0,0,1
Avatar & Digital Human,1,0,1,0
3D & Spatial Design,1,0,1,0
