category,pct_free_or_freemium
Writing & Editing,100.0
Website Building,100.0
Voice & Audio,100.0
Translation,100.0
Search & Research,100.0
Notes & Knowledge Management,100.0
Music Generation,100.0
General AI Assistant,100.0
Document Tools,100.0
Avatar & Digital Human,100.0
Automation & Agents,100.0
3D & Spatial Design,100.0
Coding & Development,90.0
Image Generation,85.7
Presentations,83.3
Video Generation,80.0
Design,75.0
Meetings & Productivity,71.4
Enterprise Knowledge,50.0
Data Analysis,33.3
Marketing Content,25.0
Customer Support,25.0
SEO,0.0
Legal & Compliance,0.0
Email & Sales,0.0
Creative Writing,0.0
