task_text,category
write ad copy for my campaign,Marketing Content
I need citations for my thesis,Search & Research
draft a standard legal agreement,Legal & Compliance
I need notes from today's meeting,Meetings & Productivity
generate code comments and documentation,Coding & Development
design an email newsletter template,Design
animate a photo to talk and present,Avatar & Digital Human
make a song with vocals from lyrics,Music Generation
talk through a tricky situation with an AI,General AI Assistant
design an interactive 3D scene for my website,3D & Spatial Design
research keywords for a blog post,SEO
look up facts and verify with sources,Search & Research
correct spelling and grammar errors,Writing & Editing
I need slides for an investor pitch,Presentations
visualize this sales data,Data Analysis
automate a repetitive manual process at work,Automation & Agents
brainstorm names for characters in my novel,Creative Writing
help me write unit tests,Coding & Development
write a product launch announcement,Marketing Content
trigger an action when a new row is added,Automation & Agents
build an interactive spatial design for the web,3D & Spatial Design
rewrite this to sound more professional,Writing & Editing
generate an upbeat song for an ad,Music Generation
turn a still photo into a talking video,Avatar & Digital Human
get answers from a contract without reading it fully,Document Tools
capture a quick thought and file it automatically,Notes & Knowledge Management
convert text to natural sounding speech,Voice & Audio
set up a zap between my apps,Automation & Agents
create an illustration in a specific art style,Image Generation
create email marketing copy,Marketing Content
extract key decisions from this meeting,Meetings & Productivity
clean and analyze this messy dataset,Data Analysis
research case law for this legal question,Legal & Compliance
design a poster for an event,Design
design album cover artwork,Image Generation
make a business presentation quickly,Presentations
manage my sales inbox efficiently,Email & Sales
find the right internal document quickly,Enterprise Knowledge
automate our helpdesk ticket triage,Customer Support
build a multi-step automated workflow,Automation & Agents
calculate year over year growth from this data,Data Analysis
reduce customer wait times with automation,Customer Support
search my personal notes instantly,Notes & Knowledge Management
continue this story I started,Creative Writing
create a short promotional video,Video Generation
design spatial graphics for the web,3D & Spatial Design
handle refund requests automatically,Customer Support
generate multiple headline options for an ad,Marketing Content
check my writing for grammar mistakes,Writing & Editing
turn my photo into a talking avatar video,Avatar & Digital Human
generate a virtual human to host a video,Avatar & Digital Human
accurately translate this text between languages,Translation
make my writing more concise,Writing & Editing
audit my site's SEO performance,SEO
proofread my essay,Writing & Editing
develop a character for my novel,Creative Writing
write social media captions,Marketing Content
automatically sort emails into folders,Email & Sales
draft a quick reply to a client email,Email & Sales
create 3D graphics for a web project,3D & Spatial Design
generate a cinematic video clip from a prompt,Video Generation
design a 3D configurator for a product,3D & Spatial Design
route support tickets to the right team,Customer Support
surface verified answers from our internal docs,Enterprise Knowledge
extract text from a scanned image document,Document Tools
complete this half-written program,Coding & Development
resolve tickets without a human agent,Customer Support
help me write a plot twist for my story,Creative Writing
generate boilerplate code for an API,Coding & Development
search across all our internal company documents,Enterprise Knowledge
build a command line tool in python,Coding & Development
animate my headshot to speak a script,Avatar & Digital Human
grade my content against top-ranking pages,SEO
I need voice for a training module,Voice & Audio
generate an illustration for my book cover,Image Generation
find recent studies on this topic,Search & Research
identify which factors most affect this outcome,Data Analysis
I need a versatile assistant for anything,General AI Assistant
look up what scientists say about this,Search & Research
translate technical documentation accurately,Translation
analyze website traffic data for trends,Data Analysis
build a rotating 3D product display,3D & Spatial Design
translate a product manual into multiple languages,Translation
find peer reviewed research on a question,Search & Research
improve the tone of this email,Writing & Editing
generate a slide deck from this text,Presentations
translate my website content into another language,Translation
check consistency of tense throughout this document,Writing & Editing
fact check a claim using web sources,Search & Research
identify liability clauses in this agreement,Legal & Compliance
write a function to process this data,Coding & Development
record and transcribe my zoom call,Meetings & Productivity
keep a running journal that organizes itself,Notes & Knowledge Management
design an interactive web animation in 3D,3D & Spatial Design
generate royalty free music,Music Generation
create a short musical sting for an intro,Music Generation
create abstract art for a wall print,Image Generation
help me trace through this stack trace,Coding & Development
check this text for tone and readability,Writing & Editing
explain a complex topic to me simply,General AI Assistant
segment customers based on this data,Data Analysis
triage and sort my daily emails,Email & Sales
organize my personal notes automatically,Notes & Knowledge Management
have a conversation to brainstorm ideas,General AI Assistant
create an interactive 3D product viewer,3D & Spatial Design
search for the latest news on this topic,Search & Research
set up automated ticket escalation rules,Customer Support
chat with a PDF to find specific information,Document Tools
connect related notes automatically,Notes & Knowledge Management
create a training presentation deck,Presentations
set up 24/7 automated customer support,Customer Support
write code to automate this task,Coding & Development
log meeting minutes automatically,Meetings & Productivity
clean up my podcast recording,Voice & Audio
clean up and organize a cluttered inbox,Email & Sales
keep my personal knowledge organized without folders,Notes & Knowledge Management
create a consistent visual identity for my brand,Design
remove echo and static from an audio file,Voice & Audio
create a business intelligence dashboard,Data Analysis
search and summarize multiple articles on a topic,Search & Research
extract data from a scanned form,Document Tools
review my code for errors,Coding & Development
implement a new feature in this codebase,Coding & Development
search knowledge across all our internal tools at once,Enterprise Knowledge
build an internal tool from my data,Website Building
I need a thinking partner for a big decision,General AI Assistant
brainstorm plot ideas for my novel,Creative Writing
create a stylized digital painting,Image Generation
set up an automated pipeline between tools,Automation & Agents
build an internal dashboard from a spreadsheet,Website Building
I need sources for a research paper,Search & Research
make a static picture speak with lip sync,Avatar & Digital Human
research the current state of this field,Search & Research
make icon graphics for my app,Image Generation
build a deck for tomorrow's meeting,Presentations
run a regression analysis on this dataset,Data Analysis
find information buried in our company wiki,Enterprise Knowledge
create a talking head video from a script,Video Generation
design a banner ad,Design
make a text to video clip,Video Generation
get a written record of what was said in a call,Meetings & Productivity
build a sales pitch deck,Presentations
create branding assets for my company,Design
create a realistic digital avatar for marketing,Avatar & Digital Human
turn this text into spoken audio,Voice & Audio
get a certified quality translation of a document,Translation
unify search across our company's scattered tools,Enterprise Knowledge
publish a website without any coding knowledge,Website Building
convert this file to another format,Document Tools
build a predictive model from this data,Data Analysis
compress a large pdf file,Document Tools
let an AI agent run this task on autopilot,Automation & Agents
turn a meeting recording into notes,Meetings & Productivity
turn my notes into a slide deck,Presentations
improve the flow between these paragraphs,Writing & Editing
